id,name,idx_ticker,parent company id,operation_province,operation_kabkot,representative_address,company_type,key_operation,activities,website,phone_number,email,,,,,,,
1,Bayan Resources Tbk,BYAN.JK,,Kalimantan Timur,,"Gedung Office 8, Lantai 37 Unit A-H Jl. Senopati No. 8B, Senayan, Kebayoran Baru, Jakarta Selatan 12950 - Indonesia",Holding,Mining,,www.bayan.com.sg,021-29356888,corporate.secretary@bayan.com.sg,,,,,,,
2,PT Fajar Sakti Prima,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
3,PT Bara Tabang,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
4,PT Tiwa Abadi,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
5,PT Tanur Jaya,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
6,PT Dermaga Energi,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
7,PT Brian Anjat Sentosa,,1,Kalimantan Timur,,,Mine Owner,Mining,,,,,,,,,,,
8,PT Orkida Makmur,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
9,PT Sumber Api,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
10,PT Cahaya Alam,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
11,PT Bara Sejati,,1,Kalimantan Timur,Kutai Kartanegara,,Mine Owner,Mining,,,,,,,,,,,
12,PT Perkasa Inakakerta,,1,Kalimantan Timur,Kutai Timur,,Mine Owner,Mining,,,,,,,,,,,
13,PT Wahana Baratama Mining,,1,Kalimantan Selatan,Satui,,Mine Owner,Mining,,,,,,,,,,,
14,PT Teguh Sinarabadi,,1,Kalimantan Timur,Kutai Barat,,Mine Owner,Mining,,,,,,,,,,,
15,PT Firman Ketaun Perkasa,,1,Kalimantan Timur,Kutai Barat,,Mine Owner,Mining,,,,,,,,,,,
16,PT Bukit Makmur Mandiri Utama Tbk,,17,Kalimantan Timur,,,Contractor,Mining Services,"[""Overburden Removal & Hauling"", ""Equipment rental""]",,,,,,,,,,
17,PT BUMA Internasional Grup Tbk,DOID.JK,,Kalimantan Timur,,"South Quarter Tower C, Lantai 5, Jl. R.A. Kartini Kav 8, Cilandak Barat, Jakarta Selatan 12430.",Holding,Mining Services,,https://bumainternational.com,021-30432080,,,,,,,,
18,PT Karunia Armada Indonesia,,,Kalimantan Timur,Balikpapan,"Jl. Sepinggan Baru No.88 RT. 32, Balikpapan 76115",Contractor,Overburden Removal & Hauling,"[""Overburden Removal & Hauling"", ""Equipment rental""]",https://karuniagroup.co.id,(0542)7209336,info@karuniagroup.co.id,,,,,,,
19,PT Mandiri Herindo Adiperkasa Tbk,MAHA.JK,,Kalimantan Timur,Balikpapan,"Office 8 Building, 31st. Floor Unit A, Jl. Senopati Raya No.8B, SCBD Lot 28, Kav. 52-53, Jakarta 12190",Contractor,Overburden Removal & Hauling,,www.mha.co.id,021-72120273,corporate.secretary@ptmha.com,,,,,,,
20,PT Kalimantan Citra Bara,,,Kalimantan Timur,Kutai Kartanegara,,Contractor,Mining Services,"[""Coal haul road maintenance""]",,,,,,,,,,
21,PT Indonesia Pratama,,1,Kalimantan Timur,Kutai Kartanegara,,Contractor,Mining Services,,,,,,,,,,,
22,PT Sentosa Laju Sejahtera,,,Kalimantan Timur,,"Prosperity Tower 11C Floor District 8 Lot 28 SCBD, Senayan, Kebayoran Baru, Jakarta Selatan DKI Jakarta, 12190, Indonesia",Contractor,Overburden Removal & Hauling,"[""Overburden Removal & Hauling"", ""Equipment rental""]",https://www.slsgroup.id/home,021-811162515,admin@slsgroup.id,,,,,,,
23,PT Thiess Contractors Indonesia,,,Kalimantan Timur,Balikpapan,"South Quarter Tower B, Lantai 12, unit A - I JI. R.A. Kartini Kav. 8, Jakarta 12430, Indonesia",Contractor,Overburden Removal & Hauling,"[""Overburden Removal & Hauling"", ""Equipment rental""]",http://www.thiess.co.id,021-27549999,communication@thiess.com ,,,,,,,
24,PT Alamtri Resources Indonesia Tbk,ADRO.JK,,Jakarta,,"Menara Karya 23rd Floor Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2 Jakarta 12950",Holding,Investment,,https://www.alamtri.com/,021-25533000,mahardika.putranto@adaro.com,,,,,,,
