"company_id","company_name","operation_location","key_operation","company_type","year","production_volume","strip_ratio","overburden_removal_volume","sales_volume","mineral_type","calorific_value","mining_operation_status","reserve","resource"
1,Adaro Energy Indonesia,Jakarta,Mining,Holding,2023,65.88,4.35,286.35,65.71,Mixed,Mixed,Mixed,"",""
2,Adaro Indonesia,Kalimantan Selatan,Mining,Owner,2023,48.6,4.51,219.4,57.2,Coal,"4447",production,634.39,3100
3,Balangan Coal Companies,Kalimantan Selatan,Mining,Owner,2023,8,4.41,35.25,"",Coal,"",production,109.8,249.3
4,Semesta Centramas,Kalimantan Selatan,Mining,Owner,2023,"","","","",Coal,"4390",production,"",""
5,Paramitha Cipta Sarana ,Kalimantan Selatan,Mining,Owner,2023,"","","","",Coal,"4335",production,"",""
6,Laskar Semesta Alam,Kalimantan Selatan,Mining,Owner,2023,"","","","",Coal,"4457",production,"",""
7,Mustika Indah Permai,Sumatera Selatan,Mining,Owner,2023,4.15,3.13,13.02,4.01,Coal,"4311",production,297,203
8,Bukit Enim Energy,Sumatera Selatan,Mining,Owner,2023,"","","","",Mixed,"",development,"",""
9,Bhakti Energi Persada,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"",development,"",3272.3
10,Bumi Kaliman Sejahtera,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3214",development,"",555
11,Bumi Murau Coal,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3418",development,"",1110
12,Birawa Pandu Selaras,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3400",development,"",23
13,Khazana Bumi Kalimantan,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3272",development,"",177
14,Persada Multi Bara,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3229",development,"",949
15,Telen Eco Coal,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3458",development,"",454
16,Tri Panuntun Persada,Kalimantan Timur,Mining,Owner,2023,"","","","",Coal,"3535",development,"",4.3
