,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
0,95.937,5.027,UDVUQ2huc29PWUdSS3dEc2JXV0ViUT09,Mineral Logam,Tembaga,Logam Dasar,Tangse,Pidie,Aceh,Tembaga Tangse,600000000.0,0.0,Ton,2022
1,99.754,0.686,YnFxVnlnTGsvQ2hnczFqYlNUR3RvZz09,Mineral Logam,Tembaga,Logam Dasar,Pagargunung,Mandailing Natal,Sumatera Utara,Tembaga Pagargunung,800000.0,0.0,Ton,2022
2,99.693,0.671,OFJETTA5bm1kRXlLR1hTcmxxSVEzUT09,Mineral Logam,Tembaga,Logam Dasar,Pagaran Siayu,Mandailing Natal,Sumatera Utara,Tembaga Pagaran Siayu,65000.0,0.0,Ton,2022
3,99.845,0.676,djloS3BOeW1HY3BQZ0NmcXhKeU8rUT09,Mineral Logam,Tembaga,Logam Dasar,Muara Sipongi,Mandailing Natal,Sumatera Utara,Tembaga Muara Sipongi,113000.0,0.0,Ton,2022
4,100.629,-0.566,dHZSSWhDNUZVdEI4M3NvekdQVThKdz09,Mineral Logam,Tembaga,Logam Dasar,Sulit Air,Solok,Sumatera Barat,Tembaga Sulit Air,0.0,0.0,Ton,2022
5,100.728,-0.584,YVQwZ2I1d2w0YWo3aVNiVlVmRWFDUT09,Mineral Logam,Tembaga,Logam Dasar,Sungai Sumpahan,Kota Sawahlunto,Sumatera Barat,Tembaga Sungai Sumpahan,0.0,0.0,Ton,2022
6,100.647,-0.853,WnROT2EzcGNtTUhOKzZNWWoyRDRWQT09,Mineral Logam,Tembaga,Logam Dasar,Lubuk Sulasih,Solok,Sumatera Barat,Tembaga Lubuk Sulasih,0.0,0.0,Ton,2022
7,100.635,-0.899,bzJYR3FlZkVQaXdSVVFhQjJqMnlqZz09,Mineral Logam,Tembaga,Logam Dasar,Lanawang,Solok,Sumatera Barat,Tembaga Lanawang,0.0,0.0,Ton,2022
8,101.035,-1.431,TUh1bmVyRGhqRW80a3FmU0xYcjRaQT09,Mineral Logam,Tembaga,Logam Dasar,Sungai Pagu,Solok Selatan,Sumatera Barat,Tembaga Sungai Pagu,0.0,0.0,Ton,2022
9,102.153,-3.093,SnBTZEIrL29EUWVvbjB0LzBFWi9uZz09,Mineral Logam,Tembaga,Logam Dasar,Tambang Sawah,Lebong,Bengkulu,Tembaga Tambang Sawah,265000.0,0.0,Ton,2022
10,102.206,-3.146,WVE5VUN2Yy9JZlV6WDFpaFlZNGRZQT09,Mineral Logam,Tembaga,Logam Dasar,Lebong Sulit,Lebong,Bengkulu,Tembaga Lebong Sulit,513000.0,0.0,Ton,2022
11,102.719,-2.668,YVZkeUQ3aGxzLzNNbGZsSXhyV1ZDZz09,Mineral Logam,Tembaga,Logam Dasar,Sungai Tuboh,Musi Rawas Utara,Sumatera Selatan,Tembaga Sungai Tuboh,1760000.0,0.0,Ton,2022
12,103.157,-4.149,LzFWeEFUSUVURjlrZ2hSaTFrTzF0QT09,Mineral Logam,Tembaga,Logam Dasar,Daerah Kecamatan Pino,Empat Lawang,Sumatera Selatan,Tembaga Daerah Kecamatan Pino,100000.0,0.0,Ton,2022
13,106.453,-6.544,VkdyRFJURzBKS3NxSHQ2a2FzY2hoZz09,Mineral Logam,Tembaga,Logam Dasar,Gunung Gede,Bogor,Jawa Barat,Tembaga Gunung Gede,1460935.0,0.0,Ton,2022
14,106.436,-6.572,UWhoYUtZR05vTE5HWmNiVGttN2NIQT09,Mineral Logam,Tembaga,Logam Dasar,Gunung Limbung,Bogor,Jawa Barat,Tembaga Gunung Limbung,3500000.0,0.0,Ton,2022
15,107.58,-7.451,U29CdmErKzh2NUpDQ1BlOTRFMnBGdz09,Mineral Logam,Tembaga,Logam Dasar,Caringin dan Mekar,Garut,Jawa Barat,Tembaga Caringin dan Mekar,0.0,11250000.0,Ton,2022
16,111.115,-7.525,WjJjSmM2cDdlN3lLYXBXa2thbVhYdz09,Mineral Logam,Tembaga,Logam Dasar,Prospek Noyu - Ngrandon,Karanganyar,Jawa Tengah,Tembaga Prospek Noyu - Ngrandon,5025000.0,0.0,Ton,2022
17,111.273554,-8.120699,MzkwWHUyM2piWGZweWpEMWZlOUdFdz09,Mineral Logam,Tembaga,Logam Dasar,Kasihan,Pacitan,Jawa Timur,Tembaga Kasihan,4914814.8148,0.0,Ton,2022
18,111.394,-8.023,MldWWDNWanMrOEwxZjRiQ2NuVDB1dz09,Mineral Logam,Tembaga,Logam Dasar,"Gunung Domasan, Slaung",Ponorogo,Jawa Timur,"Tembaga Gunung Domasan, Slaung",200.0,0.0,Ton,2022
19,116.882761,-8.963231,REx6aFZLV3kzZXBha0RuVGZITVVudz09,Mineral Logam,Tembaga,Logam Dasar,Batuhijau,Sumbawa Barat,Nusa Tenggara Barat,Tembaga Batuhijau,185000000.0,782000000.0,Ton,2022
20,120.353,-8.356,K1dLSTA3MTBQSUw5cGFienYvQjE0Zz09,Mineral Logam,Tembaga,Logam Dasar,Wae Dara,Manggarai,Nusa Tenggara Timur,Tembaga Wae Dara,1200000.0,0.0,Ton,2022
21,123.781,-9.874,MEQzODZ0VENQZzY5dDE2Ri9UT3RRQT09,Mineral Logam,Tembaga,Logam Dasar,"Taemaman, Bone",Kupang,Nusa Tenggara Timur,"Tembaga Taemaman, Bone",48000.0,0.0,Ton,2022
22,111.291,-1.574,a2VCcTVpRHFRRmF4aDZqcmJlcHhoQT09,Mineral Logam,Tembaga,Logam Dasar,Ruwai,Lamandau,Kalimantan Tengah,Tembaga Ruwai,250000.0,0.0,Ton,2022
23,113.327,-0.711,WkpJTDVwVjMyRzBqb2g2RWc3a2NTUT09,Mineral Logam,Tembaga,Logam Dasar,Central Zone (Baroi),Gunung Mas,Kalimantan Tengah,Tembaga Central Zone (Baroi),5840000.0,0.0,Ton,2022
24,114.053,-0.567,bytrblRGT3Q5Z1JMT0JZcEFGSzFUZz09,Mineral Logam,Tembaga,Logam Dasar,Prospek Rina,Kapuas,Kalimantan Tengah,Tembaga Prospek Rina,261142.06,0.0,Ton,2022
25,119.709,-3.041,RG94S0lMcWpEMUV4aGdFMkJBUlNoZz09,Mineral Logam,Tembaga,Logam Dasar,"Sasak, Sungai Darung, Dittuang",Tana Toraja,Sulawesi Selatan,"Tembaga Sasak, Sungai Darung, Dittuang",3500000.0,0.0,Ton,2022
26,119.609,-2.985,VS9ZSUtLcGVmdkRvU21EUmdhU2tBUT09,Mineral Logam,Tembaga,Logam Dasar,"Cabang Sungai Mesupu, Masanda",Tana Toraja,Sulawesi Selatan,"Tembaga Cabang Sungai Mesupu, Masanda",50000.0,0.0,Ton,2022
27,119.948,-2.852,dnBJRW1WSWZlV0hMOEQzMEdDR0JhQT09,Mineral Logam,Tembaga,Logam Dasar,Sangkaropi,Toraja Utara,Sulawesi Selatan,Tembaga Sangkaropi,2500000.0,0.0,Ton,2022
28,121.38,1.17,TWtMcFNhUUZtRUFVc3JGZU1pdFNlZz09,Mineral Logam,Tembaga,Logam Dasar,Selatan Buol,Buol,Sulawesi Tengah,Tembaga Selatan Buol,250.0,0.0,Ton,2022
29,121.759,0.938,aTFjWHo2cmpkQzdJZkRDOTdjaTIxZz09,Mineral Logam,Tembaga,Logam Dasar,Matinan,Buol,Sulawesi Tengah,Tembaga Matinan,8000000.0,0.0,Ton,2022
30,121.617,0.973,QVZJUElDQ1RZak9WaXJXeWcycHNpQT09,Mineral Logam,Tembaga,Logam Dasar,Bulagidun,Buol,Sulawesi Tengah,Tembaga Bulagidun,14400000.0,0.0,Ton,2022
31,122.502,0.931,d2hFQWlGb2dXV3ozTmRqTDdCM2tIQT09,Mineral Logam,Tembaga,Logam Dasar,Tambang tua,Gorontalo Utara,Gorontalo,Tembaga Tambang tua,0.0,14621245.24,Ton,2022
32,122.506,0.929,a3h4a1Y1Zm9SZFgxTE5YMVJkNXp3dz09,Mineral Logam,Tembaga,Logam Dasar,Kelapa Dua,Gorontalo Utara,Gorontalo,Tembaga Kelapa Dua,0.0,6414333.24,Ton,2022
33,122.511,0.928,R0xZdW1lRFBYd25uNVRnZllUWTY3Zz09,Mineral Logam,Tembaga,Logam Dasar,Padengo I,Gorontalo Utara,Gorontalo,Tembaga Padengo I,93000000.0,76000000.0,Ton,2022
34,122.512,0.931,eEYvYWFaTnhmb2dTM3NqQmN4RlFEZz09,Mineral Logam,Tembaga,Logam Dasar,Padengo II,Gorontalo Utara,Gorontalo,Tembaga Padengo II,610000.0,0.0,Ton,2022
35,123.113,0.498,WHhOYWtUYVR5eCszdlpkZDc3M0Fodz09,Mineral Logam,Tembaga,Logam Dasar,Tulabalo,Bone Bolango,Gorontalo,Tembaga Tulabalo,3500000.0,7892770.76,Ton,2022
36,123.222,0.501,aVdhdjFDTWx3ZEJFZC9jZVB6b1NTUT09,Mineral Logam,Tembaga,Logam Dasar,Motomboto North,Bone Bolango,Gorontalo,Tembaga Motomboto North,3990000.0,0.0,Ton,2022
37,123.236,0.556,Q2VBdk00YXEvNEd6T2o0NmVIRFMxdz09,Mineral Logam,Tembaga,Logam Dasar,Tapadaa,Bone Bolango,Gorontalo,Tembaga Tapadaa,15000000.0,3639027.56,Ton,2022
38,123.351,0.446,cXdENkVMekhMekhzejQvRnN0eFVRUT09,Mineral Logam,Tembaga,Logam Dasar,Sungai Mak,Bone Bolango,Gorontalo,Tembaga Sungai Mak,173466623.0,105400000.0,Ton,2022
39,123.361,0.423,NXY3dG5sRktGcDV1R2U4ZDFtcVJJZz09,Mineral Logam,Tembaga,Logam Dasar,Kayubulan,Bone Bolango,Gorontalo,Tembaga Kayubulan,28150000.0,0.0,Ton,2022
40,127.494,-0.748,ZC9JN0RuS3VZUUFTeVJrNHBkUllGZz09,Mineral Logam,Tembaga,Logam Dasar,Kaputusan,Halmahera Selatan,Maluku Utara,Tembaga Kaputusan,115656250.0,0.0,Ton,2022
