,objectid,pulau,pejabat,id_prov,nama_prov,id_kab,nama_kab,jenis_izin,badan_usaha,nama_usaha,kode_wiup,sk_iup,tgl_berlaku,tgl_akhir,kegiatan,luas_sk,komoditas,kode_golongan,kode_jnskom,cnc,generasi,kode_wil,lokasi,geometry,komoditas_mapped,provinsi_norm,kabupaten_norm,kegiatan_norm,lokasi_norm
0,44,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,"01,05","KAB. BANGKA,KAB. BANGKA BARAT",IUP,PT,TIMAH TBK,2119002112014189,81201098819560128,1746489600000.0,2068502400000.0,OPERASI PRODUKSI,19510.0,TIMAH,2,11,CNC-1,None,None,PERAIRAN LAUT CUPAT - BELINYU,"[[[11775252.04780174, -170431.86562426575], [11772688.607280683, -170431.86562426575], [11772688.607280683, -170345.252987746], [11770490.047337517, -170345.252987746], [11770490.047337517, -170060.6684975627], [11766593.86515975, -170060.6684975627], [11766593.86515975, -169720.40488714687], [11760502.215271633, -169720.40488714687], [11760502.215271633, -171236.12821403774], [11761986.475111775, -171236.12821403774], [11761986.475111775, -173246.79634713888], [11764985.917008879, -173246.79634713888], [11764985.917008879, -184073.77212181265], [11760996.968514571, -184073.77212181265], [11760996.968514571, -182929.18167255542], [11759389.020363702, -182929.18167255542], [11759389.020363702, -181506.18540615702], [11757966.604623273, -181506.18540615702], [11757966.604623273, -177794.0635586297], [11756544.188882846, -177794.0635586297], [11756544.188882846, -173246.79634713888], [11755585.604391161, -173246.79634713888], [11755585.604391161, -171468.12748119797], [11755749.491394531, -171468.12748119797], [11755749.491394531, -171019.59567253958], [11755987.59142888, -171019.59567253958], [11755987.59142888, -169936.93625002677], [11754286.877072787, -169936.93625002677], [11754286.877072787, -170462.79877203165], [11750854.526032444, -170462.79877203165], [11750854.526032444, -172751.861097773], [11747638.629619379, -172751.861097773], [11747638.629619379, -173741.7327508266], [11748504.447905848, -173741.7327508266], [11748504.447905848, -174267.60373537976], [11746989.26596019, -174267.60373537976], [11746989.26596019, -169472.94080732335], [11754998.084831676, -169472.94080732335], [11754998.084831676, -165946.6049259264], [11775252.04780174, -165946.6049259264], [11775252.04780174, -170431.86562426575]]]",Tin,Kepulauan Bangka Belitung,"Kabupaten Bangka, Kabupaten Bangka Barat",Operasi Produksi,Perairan Laut Cupat - Belinyu
1,48,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,04,KAB. BANGKA TENGAH,IUP,PT,TIMAH TBK,2119002112014053,81201098819560233,1749772800000.0,2068502400000.0,OPERASI PRODUKSI,8981.0,TIMAH,2,11,CNC-1,None,None,KOBA,"[[[11825169.562835397, -256388.3328893452], [11825169.562835397, -255936.50629968822], [11825061.335466104, -255936.50629968822], [11825061.335466104, -255150.45491631902], [11825005.675720708, -255150.45491631902], [11825005.675720708, -253748.56985783397], [11824885.079642784, -253748.56985783397], [11824885.079642784, -253392.68491519362], [11824767.575686362, -253392.68491519362], [11824767.575686362, -252956.34000708873], [11824684.086068269, -252956.34000708873], [11824684.086068269, -252473.57688484908], [11824844.880950147, -252473.57688484908], [11824844.880950147, -252108.41081539885], [11825110.810857186, -252108.41081539885], [11825110.810857186, -251798.94868752643], [11825293.251146132, -251798.94868752643], [11825293.251146132, -251542.09565380545], [11824999.491366396, -251542.09565380545], [11824999.491366396, -250672.51164229703], [11824659.348428387, -250672.51164229703], [11824659.348428387, -250248.55241851922], [11824430.525092486, -250248.55241851922], [11824430.525092486, -249799.83779456627], [11823948.140558174, -249799.83779456627], [11823948.140558174, -249193.3011910011], [11823623.458784236, -249193.3011910011], [11823623.458784236, -248258.7441795818], [11823379.174284263, -248258.7441795818], [11823379.174284263, -247642.92981892935], [11823001.924886426, -247642.92981892935], [11823001.924886426, -247101.3862586063], [11822779.28590484, -247101.3862586063], [11822779.28590484, -246460.8200055387], [11822828.761295928, -246460.8200055387], [11822828.761295928, -246095.66749501793], [11822766.9170849, -246095.66749501793], [11822766.9170849, -245513.90052870082], [11822844.22234868, -245513.90052870082], [11822844.22234868, -245145.65558922585], [11822550.462568944, -245145.65558922585], [11822550.462568944, -244895.00189589025], [11822627.767721407, -244895.00189589025], [11822627.767721407, -244254.44417392457], [11822463.88071803, -244254.44417392457], [11822463.88071803, -243923.3356173709], [11822201.043043807, -243923.3356173709], [11822201.043043807, -243561.28306081967], [11822064.985913128, -243561.28306081967], [11822064.985913128, -243019.75293526944], [11821820.701413156, -243019.75293526944], [11821820.701413156, -242586.53007345807], [11821384.700148428, -242586.53007345807], [11821384.700148428, -242397.76897718044], [11821223.90526655, -242397.76897718044], [11821223.90526655, -241902.65912466822], [11821010.54287209, -241902.65912466822], [11821010.54287209, -241348.7566731456], [11820828.102694461, -241348.7566731456], [11820828.102694461, -240590.62489781124], [11820491.051989267, -240590.62489781124], [11820491.051989267, -240157.40828253506], [11820756.981896307, -240157.40828253506], [11820756.981896307, -239142.44801545842], [11819755.106479172, -239142.44801545842], [11819755.106479172, -238526.66711443895], [11819520.098677639, -238526.66711443895], [11819520.098677639, -237669.52863749268], [11819634.510289928, -237669.52863749268], [11819634.510289928, -237502.43354046688], [11819748.92201354, -237502.43354046688], [11819748.92201354, -237270.357212836], [11820172.554569643, -237270.357212836], [11820172.554569643, -237007.33785095255], [11819897.347964158, -237007.33785095255], [11819897.347964158, -236589.60202555868], [11819619.049237175, -236589.60202555868], [11819619.049237175, -236236.84819287213], [11827228.973415075, -236236.84819287213], [11827228.973415075, -256388.3328893452], [11825169.562835397, -256388.3328893452]]]",Tin,Kepulauan Bangka Belitung,Kabupaten Bangka Tengah,Operasi Produksi,Koba
2,49,SUMATERA,MENTERI,14,RIAU,"10,02","KAB. KEPULAUAN MERANTI,KAB. KARIMUN",IUP,PT,TIMAH TBK,1100002112014119,81201098819560232,1746576000000.0,2110233600000.0,OPERASI PRODUKSI,19594.2,TIMAH,2,11,CNC-27,None,None,MERANTI DAN KARIMUN,"[[[11500231.061331332, 101737.95978866158], [11494665.086791666, 101737.95978866158], [11494665.086791666, 95769.2826361996], [11484770.02093101, 95769.2826361996], [11484770.02093101, 110861.24125715636], [11499263.20025252, 110861.24125715636], [11499263.20025252, 110397.34034566983], [11500231.061331332, 110397.34034566983], [11500231.061331332, 101737.95978866158]]]",Tin,Riau,"Kabupaten Kepulauan Meranti, Kabupaten Karimun",Operasi Produksi,Meranti dan Karimun
3,63,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,00,4-12 MIL LAUT,IUP,PT,MITRA SUKSES GLOBALINDO,2119002112014084,188.44/041/DPE/2012,1326819600000.0,1955379600000.0,OPERASI PRODUKSI,1393.0,TIMAH DMP,2,11,CNC-1,,BLOK SANGAU A.3.,NO.6 (4MIL-12MIL GARIS PANTAI) KEPULAUAN BANGKA BELITUNG (LAUT TANJUNG SANGAU),"[[[11735301.618443105, -165234.2894356158], [11742320.980254568, -165234.2894356158], [11742320.980254568, -166997.4087492997], [11737543.481668195, -166997.4087492997], [11737543.481668195, -167708.87381448675], [11735301.618443105, -167708.87381448675], [11735301.618443105, -165234.2894356158]]]",Tin,Kepulauan Bangka Belitung,4-12 Mil Laut,Operasi Produksi,No.6 (4mil-12mil Garis Pantai) Kepulauan Bangka Belitung (laut Tanjung Sangau)
4,64,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,00,4-12 MIL LAUT,IUP,PT,MITRA SUKSES GLOBALINDO,2119002112014085,188.44/044/DPE/2012,1326819600000.0,1955379600000.0,OPERASI PRODUKSI,1471.0,TIMAH DMP,2,11,CNC-1,,BLOK SANGAU B.3.,NO.9 (4MIL-12MIL GARIS PANTAI) KEPULAUAN BANGKA BELITUNG (LAUT TANJUNG SANGAU),"[[[11742846.630890096, -162976.20545980046], [11748629.010519862, -162976.20545980046], [11748629.010519862, -163563.94235666178], [11747423.086476099, -163563.94235666178], [11747423.086476099, -164801.22303294417], [11746455.163503645, -164801.22303294417], [11746455.163503645, -166378.7064311969], [11742846.630890096, -166378.7064311969], [11742846.630890096, -162976.20545980046]]]",Tin,Kepulauan Bangka Belitung,4-12 Mil Laut,Operasi Produksi,No.9 (4mil-12mil Garis Pantai) Kepulauan Bangka Belitung (laut Tanjung Sangau)
5,72,KALIMANTAN,MENTERI,63,KALIMANTAN SELATAN,03,KAB. BANJAR,IUP,PT,INDOMARTA MULTI MINING,3363793032014080,91203151811810005,1735516800000.0,2055888000000.0,OPERASI PRODUKSI,1037.0,BATUBARA,3,03,CNC-7,None,None,"KECAMATAN CINTAPURI DARUSSALAM DAN SIMPANG EMPAT, KABUPATEN BANJAR, PROVINSI KALIMANTAN SELATAN","[[[12803596.76611012, -357708.4711415374], [12806090.941083657, -357708.4711415374], [12806090.941083657, -355048.42657367635], [12807251.756020725, -355048.42657367635], [12807251.756020725, -354512.6468318264], [12808431.433377586, -354512.6468318264], [12808431.433377586, -355621.0633498442], [12807545.20655492, -355621.0633498442], [12807545.20655492, -356693.56500736356], [12806828.432710161, -356693.56500736356], [12806828.432710161, -358745.6853346217], [12806379.75337995, -358745.6853346217], [12806379.75337995, -360612.0135784318], [12803627.68810432, -360612.0135784318], [12803627.68810432, -360155.1846480343], [12804709.96101805, -360155.1846480343], [12804709.96101805, -359226.04673943215], [12805081.025950255, -359226.04673943215], [12805081.025950255, -359040.2200275644], [12805390.246782752, -359040.2200275644], [12805390.246782752, -358823.42267473956], [12805792.233820478, -358823.42267473956], [12805792.233820478, -358668.5676285069], [12806039.610441947, -358668.5676285069], [12806039.610441947, -358327.88724779006], [12805885.000025691, -358327.88724779006], [12805885.000025691, -357925.2663671972], [12805235.63636651, -357925.2663671972], [12805235.63636651, -358173.03287708113], [12804833.649328785, -358173.03287708113], [12804833.649328785, -358420.80003839335], [12804524.428496288, -358420.80003839335], [12804524.428496288, -358668.5676285069], [12804184.285558285, -358668.5676285069], [12804184.285558285, -358854.39362013695], [12803998.753147842, -358854.39362013695], [12803998.753147842, -359040.2200275644], [12803751.376526373, -359040.2200275644], [12803751.376526373, -359349.93134606094], [12803596.76611012, -359349.93134606094], [12803596.76611012, -357708.4711415374]]]",Coal,Kalimantan Selatan,Kabupaten Banjar,Operasi Produksi,"Kecamatan Amatan Cintapuri Darussalam dan Simpang Empat, Kabupaten Upaten Banjar, Provinsi Insi Kalimantan Selatan"
6,98,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,05,KAB. BANGKA BARAT,IUP,PT,TIMAH TBK,3119052112014133,81201098819560167,1745971200000.0,2068502400000.0,OPERASI PRODUKSI,150.0,TIMAH,2,11,CNC-3,None,None,MUNTOK,"[[[11710097.36822021, -230590.09833339296], [11710097.36822021, -230932.32038342505], [11709291.848028367, -230932.32038342505], [11709291.848028367, -229983.9398478014], [11709132.290128672, -229983.9398478014], [11709132.290128672, -228633.93749346788], [11709768.357342603, -228633.93749346788], [11709768.357342603, -230145.76757551535], [11709905.651344135, -230145.76757551535], [11709905.651344135, -230384.3322402752], [11710021.609184155, -230384.3322402752], [11710021.609184155, -230590.09833339296], [11710097.36822021, -230590.09833339296]]]",Tin,Kepulauan Bangka Belitung,Kabupaten Bangka Barat,Operasi Produksi,Muntok
7,99,SUMATERA,MENTERI,14,RIAU,02,KAB. INDRAGIRI HULU,IUP,PT,PENGEMBANGAN INVESTASI RIAU,3114023032014013,1073/1/IUP/PMDN/2022,1659398400000.0,1987113600000.0,OPERASI PRODUKSI,1750.0,BATUBARA,3,03,CNC-17,None,None,KECAMATAN BATANG PERANAP,"[[[11340673.124564745, -64937.491446277054], [11343101.74482599, -64937.491446277054], [11343101.74482599, -65375.68018201761], [11343835.525728593, -65375.68018201761], [11343835.525728593, -64937.491446277054], [11345404.202923462, -64937.491446277054], [11345404.202923462, -69174.05076499101], [11340673.124564745, -69174.05076499101], [11340673.124564745, -67359.74838629109], [11341439.06455504, -67359.74838629109], [11341439.06455504, -67084.52649563008], [11341771.47691101, -67084.52649563008], [11341771.47691101, -66877.95566751297], [11342517.008253781, -66877.95566751297], [11342517.008253781, -66373.58896392852], [11343032.788524019, -66373.58896392852], [11343032.788524019, -65868.913524674], [11342746.140835222, -65868.913524674], [11342746.140835222, -65558.74860533379], [11341794.668434484, -65558.74860533379], [11341794.668434484, -66201.3436968131], [11341255.696529454, -66201.3436968131], [11341255.696529454, -66740.34487146698], [11341163.857949553, -66740.34487146698], [11341163.857949553, -66820.7466636003], [11340673.124564745, -66820.7466636003], [11340673.124564745, -64937.491446277054]]]",Coal,Riau,Kabupaten Indragiri Hulu,Operasi Produksi,Kecamatan Amatan Batang Peranap
8,105,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,06,KAB. BELITUNG TIMUR,IUP,PT,TIMAH TBK,3119062112014085,81201098819560158,1745280000000.0,2068588800000.0,OPERASI PRODUKSI,3389.0,TIMAH,2,11,CNC-14,None,None,MANGGAR,"[[[12043185.69332121, -323283.3557864483], [12045293.033064242, -323283.3557864483], [12045293.033064242, -323477.4865223045], [12045043.801080821, -323477.4865223045], [12045043.801080821, -323897.0204072898], [12046013.517632904, -323897.0204072898], [12046013.517632904, -323673.47519761167], [12048454.815848323, -323673.47519761167], [12048454.815848323, -326261.9172182061], [12046825.22217906, -326261.9172182061], [12046825.22217906, -330877.8992849525], [12046700.915488552, -330877.8992849525], [12046700.915488552, -331104.5538450084], [12043987.193654923, -331104.5538450084], [12043987.193654923, -330341.91885836923], [12042474.485450996, -330341.91885836923], [12042474.485450996, -330049.0038634091], [12041590.423124505, -330049.0038634091], [12041590.423124505, -330675.08727289014], [12040852.622252455, -330675.08727289014], [12040852.622252455, -329330.3433599884], [12042066.313947646, -329330.3433599884], [12042066.313947646, -327153.64172251895], [12043890.716725793, -327153.64172251895], [12043890.716725793, -324447.5252934563], [12043185.69332121, -324447.5252934563], [12043185.69332121, -323283.3557864483]]]",Tin,Kepulauan Bangka Belitung,Kabupaten Belitung Timur,Operasi Produksi,Manggar
9,149,KEPULAUAN MALUKU,GUBERNUR,82,MALUKU UTARA,00,"HALMAHERA TIMUR, HALMAHERA TENGAH",IUP,PT,HALMAHERA SUKSES MINERAL,2682002122014006,380.1/KPTS/MU/2016,1479574800000.0,1923498000000.0,OPERASI PRODUKSI,7726.0,NIKEL,2,12,CNC-24,,131/KPTS,WEDA KEC. WASILE SELATAN KAB.,"[[[14245184.171883017, 71369.34247413625], [14248051.57639626, 71369.34247413625], [14248051.57639626, 72282.83871078491], [14248925.743644537, 72282.83871078491], [14248925.743644537, 72297.32353136936], [14248925.768357456, 72297.32353136936], [14248925.768357456, 73225.12053714067], [14249822.446855797, 73225.12053714067], [14249822.446855797, 74152.80776528471], [14251708.755627284, 74152.80776528471], [14251708.755627284, 75111.4455255565], [14252605.434125626, 75111.4455255565], [14252605.434125626, 76039.24729135138], [14252945.626489492, 76039.24729135138], [14252945.626489492, 69885.32560940608], [14253192.97839803, 69885.32560940608], [14253192.97839803, 70101.74373028864], [14253656.846716171, 70101.74373028864], [14253656.846716171, 70287.32455973557], [14254398.902441798, 70287.32455973557], [14254398.902441798, 69607.0102429667], [14253502.223943459, 69607.0102429667], [14253502.223943459, 68679.21909173987], [14252543.651808241, 68679.21909173987], [14252543.651808241, 67738.2547680884], [14252543.627095308, 67738.25588134804], [14251615.655463599, 67738.25588134804], [14251615.655463599, 66801.88320893752], [14250746.74494432, 66801.88320893752], [14250746.74494432, 65893.34322218511], [14248863.281053735, 65893.34322218511], [14248863.281053735, 64964.704350155924], [14247965.3037909, 64964.704350155924], [14247965.3037909, 63118.5629891515], [14247936.249403799, 63118.5629891515], [14246935.598501053, 63118.5629891515], [14246935.598501053, 62216.213179712875], [14244495.537156502, 62216.213179712875], [14244497.392407132, 62598.11909610571], [14243427.797670204, 62598.11909610571], [14243427.797670204, 63056.09734280023], [14243239.172915628, 63056.09734280023], [14243236.117863521, 63055.985015943355], [14243236.117863521, 63793.36571216356], [14243626.605486518, 63793.36571216356], [14243626.626637224, 63793.31628383434], [14243626.626637224, 63174.84398385196], [14243638.092544774, 63174.84398385196], [14244411.09508885, 63174.84398385196], [14244445.752519868, 63174.84398385196], [14244445.752519868, 63833.8261381582], [14244292.688220033, 63833.8261381582], [14244292.688220033, 65529.68032697201], [14244441.423416197, 65529.68032697201], [14244441.423416197, 65954.26306181338], [14245536.374395425, 65954.26306181338], [14245536.374395425, 66545.5251284023], [14246102.55768206, 66545.5251284023], [14246102.55768206, 66700.14397938609], [14246443.628245391, 66700.14397938609], [14246443.628245391, 66854.76286956361], [14246588.343583422, 66854.76286956361], [14246588.343583422, 67099.67925245108], [14247029.601577135, 67099.67925245108], [14247029.601577135, 67162.14530305492], [14247139.37506285, 67162.14530305492], [14247139.37506285, 67225.84829966644], [14247300.788324498, 67225.84829966644], [14247300.788324498, 67287.38668634603], [14247414.27231147, 67287.38668634603], [14247414.27231147, 67380.46732379375], [14247568.573482173, 67380.46732379375], [14247568.573482173, 67543.7449689783], [14244194.356040267, 67543.7449689783], [14244194.356040267, 67169.2577883487], [14243895.957911309, 67169.2577883487], [14243895.957911309, 68370.02995293052], [14244689.41852876, 68370.02995293052], [14244689.41852876, 70070.53531940692], [14244982.250683181, 70070.53531940692], [14244982.250683181, 70566.55557723566], [14244272.588929368, 70566.55557723566], [14244272.588929368, 71410.4714796295], [14245125.110659255, 71410.4714796295], [14245125.110659255, 72732.47483052248], [14244452.246231053, 72732.47483052248], [14244452.246231053, 73137.88974063803], [14243888.53668614, 73137.88974063803], [14243888.53668614, 71947.62194161433], [14243390.740636235, 71947.62194161433], [14243359.769104866, 71947.62194161433], [14243359.769104866, 77832.80902039619], [14243390.740636235, 77832.80902039619], [14245184.171883017, 77832.80902039619], [14245184.171883017, 71369.34247413625]]]",Nickel,Maluku Utara,"Halmahera Timur, Halmahera Tengah",Operasi Produksi,Weda Kecamatan Wasile Selatan Kabupaten
