Exports of Copper Ore by Major Countries of Destination 2012-2024,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country of destination,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,
,Net weight : Ton,,,,,,,,,,,,,,,,,,,,,,
Japan,"418,221.9","447,743.6","202,918.6","552,541.8","689,632.1","444,672.7","494,793.5","103,457.2","336,743.3","628,052.0","761,281.5","654,237.1","605,391.0",,,,,,,,,,
Philippines,"87,721.2","99,988.3","9,152.1","222,955.1","358,296.9","418,413.2","112,150.5","99,291.8","70,437.5","131,025.3","153,118.0","188,712.6","99,553.8",,,,,,,,,,
China,"83,816.6","185,903.4","163,080.3","195,500.3","302,479.2","185,000.0","354,596.4","302,510.9","372,904.6","432,004.6","597,368.0","684,355.3","812,814.7",,,,,,,,,,
India,"171,923.0","326,477.9","123,000.0","441,529.4","293,868.3","287,239.8","145,500.0","30,000.0","127,443.0","175,959.2","284,054.7","313,016.2","277,514.2",,,,,,,,,,
Korea. Republic Of,"175,346.9","194,771.8","83,353.4","239,397.6","230,605.1","204,466.9","250,988.3","85,665.3","153,980.7","300,807.8","530,244.9","446,775.7","287,898.9",,,,,,,,,,
Spain,"132,267.0","143,897.4","113,446.0","32,000.0","38,000.0",─,"84,000.0","30,000.0","42,000.0","110,000.0","144,701.0","246,631.2","194,442.3",,,,,,,,,,
Germany. Fed. Rep. Of,"51,648.7","54,949.5",─,"27,472.4",─,─,"20,000.0","10,000.0","84,000.0","100,100.8","121,000.2","199,102.3","55,550.2",,,,,,,,,,
Bulgaria,─,─,"10,000.0",─,─,─,"135,750.0",─,"43,000.0",─,"100,101.1","134,750.0","108,895.5",,,,,,,,,,
Sweden,─,─,"10,000.0",─,─,─,─,─,─,─,─,─,─,,,,,,,,,,
Thailand,"2,406.2",─,─,─,─,─,─,─,─,─,─,─,─,,,,,,,,,,
Others,189.5,─,─,─,─,─,─,"15,750.0","44,002.8","357,504.5","442,056.4","120,030.8","28,073.0",,,,,,,,,,
Total,"1,123,541.0","1,453,731.9","714,950.4","1,711,396.5","1,912,881.5","1,539,792.6","1,597,778.7","676,675.2","1,274,511.9","2,235,454.1","3,133,925.7","2,987,611.2","2,470,133.6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,FOB value : 000 US$,,,,,,,,,,,,,,,,,,,,,,
Japan,"958,088.5","902,036.6","432,011.5","1,066,410.7","1,297,054.0","998,983.6","1,229,713.3","180,618.2","610,770.1","1,536,525.9","2,283,441.3","1,886,063.0","1,986,254.6",,,,,,,,,,
Philippines,"190,084.7","223,136.8","24,508.5","421,377.2","657,409.6","870,853.7","286,138.1","153,454.7","111,464.4","313,618.4","455,508.3","526,020.4","291,296.2",,,,,,,,,,
China,"190,483.8","391,849.6","381,805.0","368,124.4","534,283.8","451,434.2","966,534.7","599,729.5","696,804.5","963,054.0","1,773,986.5","1,862,517.6","2,620,351.3",,,,,,,,,,
India,"450,595.8","754,416.5","338,786.0","801,637.5","529,946.5","694,464.2","414,957.3","64,300.6","270,683.2","439,601.8","872,695.0","931,447.1","968,984.8",,,,,,,,,,
Korea. Republic Of,"368,078.9","358,578.9","162,589.8","490,154.6","408,641.7","423,868.2","614,979.8","163,346.5","299,588.7","725,677.8","1,638,101.3","1,259,859.4","968,885.5",,,,,,,,,,
Spain,"345,732.2","295,179.9","297,931.9","56,565.0","54,221.3",─,"245,674.9","62,587.0","79,246.1","270,919.8","403,890.1","641,176.6","575,275.0",,,,,,,,,,
Germany. Fed. Rep. Of,"91,012.3","81,611.7",─,"72,888.1",─,─,"53,707.9","19,259.6","169,843.6","246,398.9","323,840.6","533,627.7","161,983.2",,,,,,,,,,
Bulgaria,─,─,"25,287.3",─,─,─,"375,035.9",─,"79,434.7",─,"273,014.6","364,671.6","315,041.5",,,,,,,,,,
Sweden,─,─,"20,667.7",─,─,─,─,─,─,─,─,─,─,,,,,,,,,,
Thailand,562.3,─,─,─,─,─,─,─,─,─,─,─,─,,,,,,,,,,
Others,36.0,─,─,─,─,─,─,"36,758.2","94,368.4","890,429.2","1,219,512.7","321,093.2","81,102.4",,,,,,,,,,
Total,"2,594,674.5","3,006,809.9","1,683,587.7","3,277,157.6","3,481,556.9","3,439,603.9","4,186,741.9","1,280,054.3","2,412,203.6","5,386,225.8","9,243,990.5","8,326,476.7","7,969,174.6",,,,,,,,,,
