,name,link
0,3G TRUST,https://modi.esdm.go.id/portal/detailPerusahaan/14357?jp=1
1,AAL RIZKI TADANG PALIE,https://modi.esdm.go.id/portal/detailPerusahaan/5?jp=1
2,AASAAK AFAFA JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/16620?jp=1
3,ABADI DUA PUTRI,https://modi.esdm.go.id/portal/detailPerusahaan/19988?jp=1
4,ABADI MINERAL RESOURCES,https://modi.esdm.go.id/portal/detailPerusahaan/12289?jp=1
5,ABADI OGAN CEMERLANG,https://modi.esdm.go.id/portal/detailPerusahaan/16?jp=1
6,ABADI SILIKA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/18772?jp=1
7,ABBASY ANUGERAH JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/14676?jp=7
8,ABDARA BRM TAMBANG,https://modi.esdm.go.id/portal/detailPerusahaan/21270?jp=1
9,ABE JAYA PERKASA,https://modi.esdm.go.id/portal/detailPerusahaan/32?jp=1
10,ABHINAYA BERLIAN UTAMA,https://modi.esdm.go.id/portal/detailPerusahaan/15800?jp=1
11,ABHI NAYA SARANA,https://modi.esdm.go.id/portal/detailPerusahaan/16788?jp=7
12,ABHIPRAYA NAWASENA ADHIKARA,https://modi.esdm.go.id/portal/detailPerusahaan/18613?jp=1
13,ABIDIN JAYA UTAMA,https://modi.esdm.go.id/portal/detailPerusahaan/15766?jp=1
14,ABIMANYU BARA UTAMA,https://modi.esdm.go.id/portal/detailPerusahaan/19051?jp=7
15,ABIMAS JAYA BARA,https://modi.esdm.go.id/portal/detailPerusahaan/19114?jp=7
16,ABISHA BUMI PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/36?jp=1
17,ABSAH INTERNASIONAL,https://modi.esdm.go.id/portal/detailPerusahaan/9987?jp=7
18,ABU BARA INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/18514?jp=7
19,ABU HASAN,https://modi.esdm.go.id/portal/detailPerusahaan/19863?jp=1
20,ACCEL RESOURCES INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/18996?jp=7
21,ACEH COAL ENERGY,https://modi.esdm.go.id/portal/detailPerusahaan/21394?jp=7
22,ACEH MINERAL PRIMA DEVELOPMENT,https://modi.esdm.go.id/portal/detailPerusahaan/13053?jp=1
23,Aceng Amanullah,https://modi.esdm.go.id/portal/detailPerusahaan/14833?jp=1
24,ACES SELARAS,https://modi.esdm.go.id/portal/detailPerusahaan/11921?jp=1
25,ACK BARA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/9564?jp=1
26,ACRITAS MEGA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/16682?jp=7
27,ADABI ENERGY CORPORA,https://modi.esdm.go.id/portal/detailPerusahaan/20973?jp=7
28,ADA EKATAMA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/18464?jp=7
29,ADAMA ANUGERAH NUSANTARA,https://modi.esdm.go.id/portal/detailPerusahaan/20890?jp=7
30,ADAMA NUSA TRADING,https://modi.esdm.go.id/portal/detailPerusahaan/19196?jp=7
31,ADAMAR DAYA ANUGERAH,https://modi.esdm.go.id/portal/detailPerusahaan/19179?jp=7
32,ADAMAS DAYA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/18851?jp=7
33,ADAMASHA KARYA,https://modi.esdm.go.id/portal/detailPerusahaan/13996?jp=7
34,ADAMAS INDONESIA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/19023?jp=7
