nama_usaha,badan_usaha,jenis_izin,sk_iup,kode_wiup,nama_prov,nama_kab,tgl_berlaku,tgl_akhir,kegiatan,luas_sk,cnc,generasi,lokasi,komoditas_mapped,geometry
3G TRUST,CV,IUP,02201043921450002,2119064052019141,Bangka Belitung,KAB. BELITUNG TIMUR,2023-03-30,2043-03-30,OPERASI PRODUKSI,123.9,CNC,-,KAB. BELITUNG TIMUR,Non-Metallic Mineral,"[[[12029941.147658536, -349456.30875394365], [12030917.976190249, -349456.30875394365], [12030917.976190249, -350940.0192544602], [12030789.64953029, -350940.0192544602], [12030789.64953029, -350857.64199668966], [12030589.58369241, -350857.64199668966], [12030589.58369241, -350765.97417803784], [12030395.702208834, -350765.97417803784], [12030395.702208834, -350670.2804964123], [12030203.057707444, -350670.2804964123], [12030203.057707444, -350588.5228557136], [12030029.584760081, -350588.5228557136], [12030029.584760081, -350475.7963557614], [12029941.147658536, -350475.7963557614], [12029941.147658536, -349456.30875394365]]]"
AAL RIZKI TADANG PALIE,PT,IUP,188.45/0179/DESDM/2010,3472032332014039,Sulawesi Tengah,KAB. DONGGALA,2010-02-22,2030-02-22,OPERASI PRODUKSI,5248.0,CNC-1,-,KAB. DONGGALA,Iron,"[[[13352216.323199203, 42672.78978691557], [13347825.38777849, 42672.78978691557], [13347825.38777849, 48238.905856146295], [13349680.712550832, 48238.905856146295], [13349680.712550832, 49011.98040357856], [13351597.881534198, 49011.98040357856], [13351597.881534198, 49475.82536560328], [13353453.206417872, 49475.82536560328], [13353453.206417872, 48393.52070857509], [13353267.67389611, 48393.52070857509], [13353267.67389611, 47218.44869264431], [13352772.92065317, 47218.44869264431], [13352772.92065317, 44528.15802684456], [13352216.323199203, 44528.15802684456], [13352216.323199203, 42672.78978691557]], [[13368852.402607167, 63082.073234758514], [13368852.402607167, 59371.25244633373], [13368543.18188599, 59371.25244633373], [13368543.18188599, 58140.501471039555], [13366997.077834824, 58140.501471039555], [13366997.077834824, 63082.073234758514], [13365760.19461616, 63082.073234758514], [13365760.19461616, 66792.9152642545], [13369470.844272159, 66792.9152642545], [13369470.844272159, 63082.073234758514], [13368852.402607167, 63082.073234758514]]]"
AASAAK AFAFA JAYA,PT,IUP,05012200156650003,2235145122023016,Jawa Timur,KAB. PASURUAN,2023-08-07,2026-08-07,EKSPLORASI,12.23,CNC,-,KAB. PASURUAN,Non-Metallic Mineral,"[[[12566547.445493562, -868365.7869439574], [12566693.150350548, -868365.7869439574], [12566693.150350548, -868398.7438512779], [12566729.638430607, -868398.7438512779], [12566729.638430607, -868456.6679744093], [12566758.766956488, -868456.6679744093], [12566758.766956488, -868576.9794442491], [12566777.289295232, -868576.9794442491], [12566777.289295232, -868634.9038987992], [12566805.552089436, -868634.9038987992], [12566805.552089436, -868682.1236015507], [12566874.415550949, -868682.1236015507], [12566874.415550949, -868929.8638365038], [12566644.850048013, -868929.8638365038], [12566644.850048013, -868875.4969337509], [12566599.827436563, -868875.4969337509], [12566599.827436563, -868713.301722727], [12566576.883264994, -868713.301722727], [12566576.883264994, -868674.1027944591], [12566603.07429215, -868674.1027944591], [12566603.07429215, -868601.9157044498], [12566576.883264994, -868601.9157044498], [12566576.883264994, -868503.8874985691], [12566547.445493562, -868503.8874985691], [12566547.445493562, -868365.7869439574]]]"
AASAAK AFAFA JAYA,PT,IUP,896/1/IUP/PMDN/2022,2235145122017022,Jawa Timur,KAB. PASURUAN,2022-08-21,2027-08-21,OPERASI PRODUKSI,5.08,CNC,-,KAB. PASURUAN,Non-Metallic Mineral,"[[[12566653.267026024, -867612.7233834482], [12566653.267026024, -867600.2524236168], [12566609.963744113, -867600.2524236168], [12566609.963744113, -867469.1390184095], [12566662.506543763, -867469.1390184095], [12566662.506543763, -867428.5804467121], [12566724.40018065, -867428.5804467121], [12566724.40018065, -867388.0219098758], [12566776.9429803, -867388.0219098758], [12566776.9429803, -867519.135089671], [12567027.411834585, -867519.135089671], [12567027.411834585, -867556.5479147325], [12566999.581961893, -867556.5479147325], [12566999.581961893, -867612.7233834482], [12566653.267026024, -867612.7233834482]]]"
ABADI DUA PUTRI,PT,IUP,15102100005760005,1476015352022001,Sulawesi Barat,KAB. PASANGKAYU,2023-08-21,2028-08-21,OPERASI PRODUKSI,6.0,CNC,-,KAB. PASANGKAYU,"Sand, Stone, Gravel","[[[13279870.280836467, -157497.55351347293], [13280045.330735734, -157497.55351347293], [13280045.330735734, -157449.67154228597], [13280162.401770666, -157449.67154228597], [13280162.401770666, -157434.70074472862], [13280292.02719512, -157434.70074472862], [13280292.02719512, -157470.2719241571], [13280493.639149416, -157470.2719241571], [13280493.639149416, -157494.7078765452], [13280591.63113681, -157494.7078765452], [13280591.63113681, -157589.14172727347], [13280230.801475186, -157589.14172727347], [13280230.801475186, -157462.60089852204], [13280173.688342514, -157462.60089852204], [13280173.688342514, -157490.34649676844], [13280070.965165436, -157490.34649676844], [13280070.965165436, -157524.80426077696], [13279870.280836467, -157524.80426077696], [13279870.280836467, -157497.55351347293]]]"
ABADI MINERAL RESOURCES,PT,IUP,91201004713510004,2363025332020001,Kalimantan Selatan,KAB. KOTABARU,2023-03-07,2029-01-08,OPERASI PRODUKSI,949.0,CNC,-,KAB. KOTABARU,"Sand, Stone, Gravel",[]
ABADI OGAN CEMERLANG,PT,IUP,222/K/IUP-II.B/XXVII/2012,3116013032014007,Sumatera Selatan,KAB. OGAN KOMERING ULU,2012-06-28,2032-06-28,OPERASI PRODUKSI,3625.0,CNC-1,-,KAB. OGAN KOMERING ULU,Coal,"[[[11562167.964424916, -447127.96886641515], [11562167.964424916, -445175.1628063382], [11562167.989137847, -445175.146960454], [11562693.664486298, -445175.146960454], [11562693.664486298, -444617.1948879737], [11562693.655914702, -444617.15772847773], [11563683.134014105, -444617.15772847773], [11563683.134014105, -443594.3288080605], [11565414.820012888, -443594.3288080605], [11565414.820012888, -442354.4736712634], [11567177.341510616, -442354.4736712634], [11567177.341510616, -441083.61436860805], [11568445.15919126, -441083.61436860805], [11568445.15919126, -442354.4736712634], [11569434.678144922, -442354.4736712634], [11569434.678144922, -444090.23091039114], [11570949.847734107, -444090.23091039114], [11570949.847734107, -446136.0228347493], [11572434.07050486, -446136.0228347493], [11572434.07050486, -447127.96886641515], [11562167.964424916, -447127.96886641515]]]"
ABADI SILIKA PERSADA,PT,IUP,27052200520920008,2362074052023036,Kalimantan Tengah,KAB. SERUYAN,2024-02-07,2044-02-07,OPERASI PRODUKSI,2361.68,CNC,-,KAB. SERUYAN,Non-Metallic Mineral,"[[[12538951.065427193, -369635.6189290171], [12541735.289567877, -369635.6189290171], [12541735.289567877, -374869.8581388208], [12541151.295162722, -374869.8581388208], [12541151.295162722, -375399.97423531546], [12540699.338030092, -375399.97423531546], [12540699.338030092, -375930.09292210074], [12540326.201219529, -375930.09292210074], [12540326.201219529, -376620.14312434476], [12539768.397841515, -376620.14312434476], [12539768.397841515, -377240.28462365305], [12536923.6282543, -377240.28462365305], [12536923.6282543, -376157.0219260777], [12537498.902669791, -376157.0219260777], [12537498.902669791, -375361.62636743806], [12538017.218575392, -375361.62636743806], [12538017.218575392, -372810.47124277626], [12538951.065427193, -372810.47124277626], [12538951.065427193, -369635.6189290171]]]"
ABDARA BRM TAMBANG,PT,IUP,10042300488750002,2472035332023132,Sulawesi Tengah,KAB. DONGGALA,2023-11-06,2028-11-06,OPERASI PRODUKSI,39.63,CNC,-,KAB. DONGGALA,"Sand, Stone, Gravel","[[[13334704.530426558, -86171.3285882557], [13334704.530426558, -86324.71604521286], [13334679.328918349, -86324.71604521286], [13334679.328918349, -86413.4706404788], [13334654.12741015, -86413.4706404788], [13334654.12741015, -86476.86667886448], [13334602.178277344, -86476.86667886448], [13334602.178277344, -86540.26283713222], [13334550.538501399, -86540.26283713222], [13334550.538501399, -86603.34961856106], [13334513.7411758, -86603.34961856106], [13334513.7411758, -86652.21102494515], [13334556.104475934, -86652.21102494515], [13334556.104475934, -86779.00328602921], [13334598.158419214, -86779.00328602921], [13334598.158419214, -86991.45765476052], [13334558.268972117, -86991.45765476052], [13334558.268972117, -87056.70930605094], [13334587.335715678, -87056.70930605094], [13334587.335715678, -87144.22705351526], [13334547.44626858, -87144.22705351526], [13334547.44626858, -87419.45931658684], [13334250.594256029, -87419.45931658684], [13334250.594256029, -87320.1900872653], [13334204.829588842, -87320.1900872653], [13334204.829588842, -87236.07421463725], [13334159.37416721, -87236.07421463725], [13334159.37416721, -87151.9582458532], [13334113.918634258, -87151.9582458532], [13334113.918634258, -87078.35684126627], [13334155.6634433, -87078.35684126627], [13334155.6634433, -86946.61655596377], [13334197.717497896, -86946.61655596377], [13334197.717497896, -86814.8761964181], [13334262.035450645, -86814.8761964181], [13334262.035450645, -86770.96282569144], [13334331.300886853, -86770.96282569144], [13334331.300886853, -86415.6353353203], [13334371.19033395, -86415.6353353203], [13334371.19033395, -86238.12638334712], [13334576.513012141, -86238.12638334712], [13334576.513012141, -86217.09743446455], [13334661.548746647, -86217.09743446455], [13334661.548746647, -86171.3285882557], [13334704.530426558, -86171.3285882557]]]"
ABE JAYA PERKASA,PT,IUP,188.45/272/2012,3362053032014140,Kalimantan Tengah,KAB. BARITO UTARA,2012-04-03,2032-04-03,OPERASI PRODUKSI,3467.0,CNC-4,-,KAB. BARITO UTARA,Coal,"[[[12808937.021791855, -132475.71062156872], [12808937.021791855, -134856.91207431996], [12812356.64522953, -134856.91207431996], [12812356.64522953, -135553.7059763401], [12813244.195529623, -135553.7059763401], [12813244.195529623, -137709.79122266165], [12812777.54422422, -137709.79122266165], [12812777.54422422, -138473.51057466015], [12811679.822725506, -138473.51057466015], [12811679.822725506, -139073.44196604713], [12810050.216699785, -139073.44196604713], [12810050.216699785, -139568.70919367363], [12805982.379867211, -139568.70919367363], [12805982.379867211, -134004.2380563148], [12807381.665866481, -134004.2380563148], [12807381.665866481, -133265.35976575443], [12808457.457425512, -133265.35976575443], [12808457.457425512, -132475.71062156872], [12808937.021791855, -132475.71062156872]]]"
