,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
0,115.766,-2.023,TDJHNzBqd21mWGJZeHQ0RlFCVmZQUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Gunung Nuih,Paser,Kalimantan Timur,Nikel Gunung Nuih,0.0,1202428.0,Ton,2022
1,121.341,-1.861,anN1bEtVWXptUFRkc1RRUjI4bGZmQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Kolonedale,Morowali Utara,Sulawesi Tengah,Nikel Kolonedale,0.0,0.0,Ton,2022
2,121.881,-2.691,Z0FpM3pGSEY0d3JuekFmT1NMRk05QT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Bahodopi Block 1,Morowali,Sulawesi Tengah,Nikel Bahodopi Block 1,80800000.0,24400000.0,Ton,2022
3,121.91,-2.694,ZnorNXNpcUN0TWQxUFUxRDVKMFgrZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,"Bahodopi Block 2,3 & 4",Morowali,Sulawesi Tengah,"Nikel Bahodopi Block 2,3 & 4",100000000.0,0.0,Ton,2022
4,122.056,-2.901,djVZTElod1BWb0hTWW9ZdnVBUzQxUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Bohomakmur,Morowali,Sulawesi Tengah,Nikel Bahomoahi,14366529.0,20271911.0,Ton,2022
5,121.479,-2.149,QXBSWHNMejc4S3VPdGIzREs1ajN0Zz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Molino,Morowali Utara,Sulawesi Tengah,Nikel Molino,7050000.0,3900000.0,Ton,2022
6,122.315,-3.216,WjJaVEt3YkUvVExaZGNQUExHQmNYQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Maratape,Morowali,Sulawesi Tengah,Nikel Maratape,0.0,29800000.0,Ton,2022
7,121.355,-2.56,VGg1UjMwd0YvQkpBd2IxY1ozQTdVdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Soroako West Block,Luwu Timur,Sulawesi Selatan,Nikel Soroako West Block,72800000.0,297000000.0,Ton,2022
8,121.393,-2.56,eWMwc0ZyZ3l4YTRINkZsNmc3M1Uwdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Soroako East Block,Luwu Timur,Sulawesi Selatan,Nikel Soroako East Block,0.0,0.0,Ton,2022
9,121.535,-2.518,bHRFaGNtbWFSU1NrWWVlZCtEYTBQZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Petea,Luwu Timur,Sulawesi Selatan,Nikel Petea,0.0,0.0,Ton,2022
10,121.386,-2.617,TG9OUmdhbUV6R2phWGFFa1NNOW8zdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Limonite Sorowako,Luwu Timur,Sulawesi Selatan,Nikel Limonite Sorowako,700000.0,0.0,Ton,2022
11,121.715,-2.675,NlY0eVNDTExaazR1VDA5Q25velJYdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Soroako Outer SOA,Luwu Timur,Sulawesi Selatan,Nikel Soroako Outer SOA,129600000.0,10200000.0,Ton,2022
12,121.153,-2.788,NkVCSGZrQW1sbVdSQThpaUJYWmxpUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Desa Harapan dan Desa Pongkeru,Luwu Timur,Sulawesi Selatan,Nikel Desa Harapan dan Desa Pongkeru,15550000.0,9408000.0,Ton,2022
13,121.899,-2.583,ZWJvR20rVkxjWGUvVitiQ2JaWkcrUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sampala,Morowali,Sulawesi Tengah,Nikel Sampala,162000000.0,0.0,Ton,2022
14,122.258,-3.315,TWZvbm9SRys1Vms0c2h6S3BLVWh5QT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Matarape,Konawe Utara,Sulawesi Tenggara,Nikel Matarape,0.0,0.0,Ton,2022
15,122.259,-3.068,cmFnVXRTVWVWaVpSNVBVbU9PWDRtQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sambalagi,Morowali,Sulawesi Tengah,Nikel Sambalagi,0.0,20830000.0,Ton,2022
16,122.155,-3.304,aEZwb2VNSTY0Rmt4OCs4OGh0UUtCZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tambakua,Konawe Utara,Sulawesi Tenggara,Nikel Tambakua,83220570.0,30110000.0,Ton,2022
17,122.21,-3.446,VGVVR0hFSWhvRDdNcjJXMjBrY21Kdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Lasolo,Konawe Utara,Sulawesi Tenggara,Nikel Lasolo,0.0,0.0,Ton,2022
18,122.253,-3.502,OGM5WTV2R1VPblpxY21vVnFEZ0NWUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tapunopaka,Konawe Utara,Sulawesi Tenggara,Nikel Tapunopaka,56710000.0,18080000.0,Ton,2022
19,122.246,-3.537,N3JFcHUwbk0rSUFHTzJlY0dGVmR0QT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Mandiodo,Konawe Utara,Sulawesi Tenggara,Nikel Mandiodo,46270000.0,7790000.0,Ton,2022
20,122.325,-3.567,MVZkNkhJWHZmNklzV1hNbVdDeXdGQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Bahubulu,Konawe Utara,Sulawesi Tenggara,Nikel Bahubulu,79450000.0,23600000.0,Ton,2022
21,121.083,-2.833,NHBIaHYwTlAycFlXbmlBMGF4WTV0QT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Blok A Tolala,Kolaka Utara,Sulawesi Tenggara,Nikel Blok A Tolala,12300000.0,7900000.0,Ton,2022
22,121.153,-2.902,Ym8rVmpSYVFkcGV3aVNDOFpheDhZdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Patikala,Kolaka Utara,Sulawesi Tenggara,Nikel Patikala,0.0,44000000.0,Ton,2022
23,121.1,-2.91,OWxlbXFNbmdMSW5ocTBlYWtXeXVSZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tolala,Kolaka Utara,Sulawesi Tenggara,Nikel Tolala,0.0,30643000.0,Ton,2022
24,120.965,-3.617,cjd4cWJWVXc2ZlQ1NjZqdzJ4N0R2QT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sua-Sua,Kolaka Utara,Sulawesi Tenggara,Nikel Sua-Sua,0.0,0.0,Ton,2022
25,121.289,-3.852,dnM4TlB2b1ByRE85L2c4ZkU4NEhnZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pit Pao pao,Kolaka,Sulawesi Tenggara,Nikel Pit Pao pao,96200000.0,41820000.0,Ton,2022
26,121.479,-4.203,bmxac3l5K3JOOE5sbVo0dHpTWlArQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Maniang,Kolaka Timur,Sulawesi Tenggara,Nikel Maniang,0.0,0.0,Ton,2022
27,128.409,0.948,YmF4L2R6R2hUZWhuQkI5YmdLYXBSQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pakaulan,Halmahera Timur,Maluku Utara,Nikel Pakaulan,46371200.0,11596800.0,Ton,2022
28,121.668,-4.227,b01vSlBMWkdEbmE2SXRWSEM0S29WZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Blok 1 Pomalaa HPAL,Kolaka,Sulawesi Tenggara,Nikel Pomalaa HPAL,343300000.0,0.0,Ton,2022
29,127.527,-1.431,bEZ0UXQ5SkdTazNzdVRRTGxmL3lNQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Baru,Halmahera Selatan,Maluku Utara,Nikel Baru,1696000.0,10770000.0,Ton,2022
30,121.701,-4.334,V3RtbzJKellhcUlmUno3c205clVmZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sopura,Kolaka,Sulawesi Tenggara,Nikel Sopura,80847226.0,38973681.0,Ton,2022
31,122.085,-4.067,akZHZWZhRDROUnN3T2NJZktaZjVTQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Iwoikondo,Konawe Selatan,Sulawesi Tenggara,Nikel Iwoikondo,0.0,0.0,Ton,2022
32,122.459,-4.424,RVJhT0Jscml5WEVTbW5hUHlNeGlGZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Torobulu,Konawe Selatan,Sulawesi Tenggara,Nikel Torobulu,100454755.0,63026940.0,Ton,2022
