,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
0,96.654,4.526,aEtJWUd3REFJN1FWRjdnS21KZWRwUT09,Mineral Logam,Emas Primer,Logam Mulia,Miwah,Nagan Raya,Aceh,Emas Primer Miwah,103900000.0,0.0,Ton,2022
1,99.072894,1.549548,NlFMdjFmQkdnS0NQQ3dCYm1pR01KUT09,Mineral Logam,Emas Primer,Logam Mulia,Uluala Hulu,Tapanuli Selatan,Sumatera Utara,Emas Primer Uluala Hulu,3500000.0,0.0,Ton,2022
2,99.0652,1.533847,Smd6czk0WGc1OUwxM3dQRFZMT2xxdz09,Mineral Logam,Emas Primer,Logam Mulia,Tor Uluala,Tapanuli Selatan,Sumatera Utara,Emas Primer Tor Uluala,36000000.0,17600000.0,Ton,2022
3,99.066059,1.525358,alRuUUFWL2xOZjQ1Z0hFTkxSTVludz09,Mineral Logam,Emas Primer,Logam Mulia,Ramba Joring,Tapanuli Selatan,Sumatera Utara,Emas Primer Ramba Joring,28900000.0,18800000.0,Ton,2022
4,99.063706,1.512728,blVtNXBkbThNMEN4NlhoNlYxU2QxUT09,Mineral Logam,Emas Primer,Logam Mulia,Purnama,Tapanuli Selatan,Sumatera Utara,Emas Primer Purnama,123500000.0,42300000.0,Ton,2022
5,99.067297,1.515069,V2IvSVFSZGI1TThFU3F0QXo1dFczdz09,Mineral Logam,Emas Primer,Logam Mulia,Mine Stockpiles,Tapanuli Selatan,Sumatera Utara,Emas Primer Mine Stockpiles,2300000.0,2300000.0,Ton,2022
6,99.075806,1.503901,YjB6a1lRRktzOVR6N2FqeEJjMWJCQT09,Mineral Logam,Emas Primer,Logam Mulia,Barani,Tapanuli Selatan,Sumatera Utara,Emas Primer Barani,15100000.0,4900000.0,Ton,2022
7,99.081543,1.491848,Q2hTVVJFTzFrS0Z6YlhjNkQ5NTF1UT09,Mineral Logam,Emas Primer,Logam Mulia,Horas,Tapanuli Selatan,Sumatera Utara,Emas Primer Horas,1900000.0,0.0,Ton,2022
8,99.416667,0.916667,anZYMUM3cHEvV3NIVURVbk16d0s5UT09,Mineral Logam,Emas Primer,Logam Mulia,Sihayo,Mandailing Natal,Sumatera Utara,Emas Primer Sihayo,19927100.0,10804000.0,Ton,2022
9,99.450384,0.918803,aktqYlg5L1lNRlhzUGtQKzBacXhvdz09,Mineral Logam,Emas Primer,Logam Mulia,Sambung,Mandailing Natal,Sumatera Utara,Emas Primer Sambung,2857000.0,1499000.0,Ton,2022
10,99.775,0.651,cWNRTGUzemQwVnI3MUFsblZmaS8wdz09,Mineral Logam,Emas Primer,Logam Mulia,Pagaran Siayu,Mandailing Natal,Sumatera Utara,Emas Primer Pagaran Siayu,65000.0,0.0,Ton,2022
11,99.764,0.346,QzV6dTZwandmRGRFRElqK3lKSUxxdz09,Mineral Logam,Emas Primer,Logam Mulia,Balimbing,Pasaman Barat,Sumatera Barat,Emas Primer Balimbing,75000.0,0.0,Ton,2022
12,100.352,0.014,QkV4Q2NyNEd4Z1h1SzZlSy9pVS9LZz09,Mineral Logam,Emas Primer,Logam Mulia,Mangani,Lima Puluh Kota,Sumatera Barat,Emas Primer Mangani,75473.0,0.0,Ton,2022
