name,idx_ticker,production_volume_Mt,revenue,total_assets,market_cap
PT Bumi Resources Tbk,BUMI.JK,74.7,21968341245261,67268071201089,109172605267992
PT Alamtri Resources Indonesia Tbk,ADRO.JK,64.64,33585378173000,108286265939000,67596285620000
PT Kaltim Prima Coal,,55.0,,,
PT Dian Swastatika Sentosa Tbk,DSSA.JK,53.1,48758530456710,59701266331663,670380518400000
PT Golden Energy Mines Tbk,GEMS.JK,50.69,43713100922788,20027762978259,46176471050000
PT Bayan Resources Tbk,BYAN.JK,50.5,55680495011778,56896163525638,468333356750000
PT Adaro Andalan Indonesia Tbk,AADI.JK,48.11,85948486374000,96823375306000,72612765662000
PT Borneo Indobara,,46.8,,,
PT Bukit Asam Tbk,PTBA.JK,43.28,42764968000000,41854334000000,30184127235000
PT Berau Coal Energy Tbk,,35.9,,,
