,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,95.98966,4.47346,Batubara,Rendah (< 5100),Pemerintah,Aceh Barat,Aceh,Batubara Woyla,0,20.92,0,0,20.92,0,0,0,Juta Ton,2022
,102.59465,-2.62264,Batubara,Rendah (< 5100),Pemerintah,Sarolangun,Jambi,Batubara Sungai Gedang,48.88,2.25,0,0,2.25,0,0,0,Juta Ton,2022
,109.05603,-7.10585,Batubara,Rendah (< 5100),Pemerintah,Tegal,Jawa Tengah,Batubara Bentar 1,0,0.82,0,0,0.82,0,0,0,Juta Ton,2022
,111.64037,-8.19211,Batubara,Rendah (< 5100),Pemerintah,Trenggalek,Jawa Timur,Batubara Watulimo,0,0.08,0,0,0.08,0,0,0,Juta Ton,2022
,111.40379,-2.56168,Batubara,Rendah (< 5100),Pemerintah,Kotawaringin Barat,Kalimantan Tengah,Batubara Pangkalanbun,0,33.52,0,0,33.52,0,0,0,Juta Ton,2022
,117.35399,0.14212,Batubara,Rendah (< 5100),Pemerintah,Kutai Timur,Kalimantan Timur,Batubara Pelakan 1,0.3,7.66,4.12,2.44,14.22,0,0,0,Juta Ton,2022
,101.57452,-0.73467,Batubara,Rendah (< 5100),Pemerintah,Kuantan Singingi,Riau,Batubara Lubuk Jambi,0,21,0,0,21,0,0,0,Juta Ton,2022
,121.13652,-1.9671,Batubara,Rendah (< 5100),Pemerintah,Morowali Utara,Sulawesi Tengah,Batubara Timbawana,0,1.98,0,0,1.98,0,0,0,Juta Ton,2022
,104.10693,-2.50773,Batubara,Rendah (< 5100),Pemerintah,Banyuasin,Sumatera Selatan,Batubara Bentayan,0,92.22,0,0,92.22,0,0,0,Juta Ton,2022
,104.38202,-3.33605,Batubara,Rendah (< 5100),Pemerintah,Muara Enim,Sumatera Selatan,Batubara Lembak,0,0,278,556.92,834.92,0,0,0,Juta Ton,2022
,104.84411,-3.66555,Batubara,Rendah (< 5100),Pemerintah,Ogan Komering Ilir,Sumatera Selatan,Batubara Tanjung Lubuk,143.29,83.5,25.48,13.4,122.38,0,0,0,Juta Ton,2022
,105.08854,-3.68889,Batubara,Rendah (< 5100),Pemerintah,Ogan Komering Ilir,Sumatera Selatan,Batubara Pagardewa,159.9,86.37,41.64,19.79,147.8,0,0,0,Juta Ton,2022
,104.37158,-3.53948,Batubara,Rendah (< 5100),Pemerintah,Ogan Ilir,Sumatera Selatan,Batubara Talang Karangan,0,23.74,0,0,23.74,0,0,0,Juta Ton,2022
,102.61187,-1.58693,Batubara,Rendah (< 5100),Pemerintah,Tebo,Jambi,Batubara Muara Kilis 1,0,73.986,0,0,73.986,0,0,0,Juta Ton,2022
,140.8636,-5.36358,Batubara,Rendah (< 5100),Pemerintah,Boven Digoel,Papua,Batubara Waropko,0.8,0,0,0,0,0,0,0,Juta Ton,2022
,127.47345,-0.57623,Batubara,Rendah (< 5100),Pemerintah,Halmahera Selatan,Maluku Utara,Batubara Halmahera,3.21,0,0,0,0,0,0,0,Juta Ton,2022
,138.65778,-2.02751,Batubara,Rendah (< 5100),Pemerintah,Sarmi,Papua,Batubara Sarmi,0.11,0,0,0,0,0,0,0,Juta Ton,2022
,127.683031,1.186526,Batubara,Rendah (< 5100),Pemerintah,Halmahera Utara,Maluku Utara,Batubara Malifut,1.527,0,0,0,0,0,0,0,Juta Ton,2022
,137.140721,-2.28909,Batubara,Rendah (< 5100),Pemerintah,Mamberamo Raya,Papua,Batubara Danau Nisa,5.01,0,0,0,0,0,0,0,Juta Ton,2022
,135.043244,-4.181386,Batubara,Rendah (< 5100),Pemerintah,Mimika,Papua,Batubara Potaway,1.247,0,0,0,0,0,0,0,Juta Ton,2022
,110.918979,0.816039,Batubara,Rendah (< 5100),Pemerintah,Sintang,Kalimantan Barat,Batubara Sungai Sai,0.08,0,0,0,0,0,0,0,Juta Ton,2022
,135.811001,-4.374303,Batubara,Rendah (< 5100),Pemerintah,Mimika,Papua,Batubara Umuk,0.03,0,0,0,0,0,0,0,Juta Ton,2022
,103.567,-1.839,Batubara,Rendah (< 5100),Swasta,Muaro Jambi,Jambi,Batubara Suka Damai 1,0,0.56,0.67,0.78,2.01,0,2.012,2.012,Juta Ton,2022
,104.294933,-2.59175,Batubara,Rendah (< 5100),Swasta,Banyuasin,Sumatera Selatan,Batubara Teluk Tenggulang,0,160,0,0,160,0,0,0,Juta Ton,2022
,99.209524,1.163095,Batubara,Rendah (< 5100),Swasta,Tapanuli Selatan,Sumatera Utara,Batubara PR Patikuban,0,0,1.83799,5.779706,7.617696,0,0,0,Juta Ton,2022
,102.525371,-2.51328,Batubara,Rendah (< 5100),Swasta,Sarolangun,Jambi,Batubara Lubuk Bedorong,0,0,0,12.129,12.129,0,5.614,5.614,Juta Ton,2022
,103.968625,-2.461179,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Suka Damai 2,0,18.96,25.68,47.62,92.26,25.68,37.17,62.85,Juta Ton,2022
